warn  2021-10-25 19:55:16: `permit_join` set to  `true` in configuration.yaml.
error 2021-10-26 19:48:51: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:48:57: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:48:57: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:48:58: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:01: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:01: No converter available for 'update_available' (false)
error 2021-10-26 19:49:01: No converter available for 'update' ([object Object])
error 2021-10-26 19:49:01: No converter available for 'linkquality' (26)
error 2021-10-26 19:49:01: No converter available for 'battery' (74)
error 2021-10-26 19:49:01: No converter available for 'action' (toggle)
error 2021-10-26 19:49:03: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:49:03: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:49:04: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:49:06: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:49:06: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:49:06: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:49:07: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:07: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:07: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:08: No converter available for 'action' (toggle)
error 2021-10-26 19:49:08: No converter available for 'battery' (74)
error 2021-10-26 19:49:08: No converter available for 'linkquality' (31)
error 2021-10-26 19:49:08: No converter available for 'update' ([object Object])
error 2021-10-26 19:49:08: No converter available for 'update_available' (false)
error 2021-10-26 19:49:08: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:10: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:10: No converter available for 'update_available' (false)
error 2021-10-26 19:49:10: No converter available for 'update' ([object Object])
error 2021-10-26 19:49:10: No converter available for 'linkquality' (31)
error 2021-10-26 19:49:10: No converter available for 'battery' (74)
error 2021-10-26 19:49:10: No converter available for 'action' (toggle)
error 2021-10-26 19:49:12: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:49:12: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:49:13: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:49:13: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:49:13: No converter available for 'update_available' (false)
error 2021-10-26 19:49:13: No converter available for 'update' ([object Object])
error 2021-10-26 19:49:13: No converter available for 'linkquality' (28)
error 2021-10-26 19:49:13: No converter available for 'battery' (74)
error 2021-10-26 19:49:13: No converter available for 'action' (toggle)
error 2021-10-26 19:49:14: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:14: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:15: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:16: No converter available for 'action' (toggle)
error 2021-10-26 19:49:16: No converter available for 'battery' (74)
error 2021-10-26 19:49:16: No converter available for 'linkquality' (31)
error 2021-10-26 19:49:17: No converter available for 'update' ([object Object])
error 2021-10-26 19:49:17: No converter available for 'update_available' (false)
error 2021-10-26 19:49:17: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:18: No converter available for 'lamp' (lampBedroom)
